case,topic,messages_expected,messages_consumed,processing_delay_ms,consumer_errors,duration_s,throughput_mps,lag_avg_messages,lag_max_messages,lag_end_messages
delay_0ms,consumer-lag-delay_0ms-1772117599,1500,1500,0,0,3.196,469.32,0.0,0,0
delay_10ms,consumer-lag-delay_10ms-1772117599,1500,1500,10,0,21.179,70.83,686.7,1431,0
