case,topic,messages_requested,messages_produced,messages_delivered,delivery_errors,duration_s,throughput_mps,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms
small_batch,producer-batch-test,20000,20000,20000,0,2.175,9195.66,933.798,805.686,2095.639,2109.164
large_batch,producer-batch-test,20000,20000,20000,0,0.124,161763.76,53.896,50.106,85.241,92.483
